"ov","var","bw","x","coef","se","lwr","upr","n","df","p","star"
"Discuss Politics","lose","3","treat:lose",0.18,0.19,-0.24,0.6,10321,10317,0.58,""
"Raise Issues","lose","3","treat:lose",-0.33,0.17,-0.75,0.09,10325,10321,0.18,""
"Contact (officials)","lose","3","treat:lose",-0.01,0.1,-0.2,0.18,9992,9988,0.92,""
"Contact (MPs)","lose","3","treat:lose",0.03,0.09,-0.15,0.21,9996,9992,0.9,""
"Coontact (parties)","lose","3","treat:lose",-0.17,0.09,-0.39,0.05,9216,9212,0.18,""
"Discuss Politics","win","3","treat:win",-0.03,0.2,-0.43,0.37,9342,9338,0.93,""
"Raise Issues","win","3","treat:win",-0.25,0.2,-0.77,0.26,9354,9350,0.89,""
"Contact (officials)","win","3","treat:win",0.11,0.12,-0.17,0.4,9345,9341,0.89,""
"Contact (MPs)","win","3","treat:win",0.01,0.09,-0.17,0.18,9345,9341,0.93,""
"Coontact (parties)","win","3","treat:win",-0.04,0.13,-0.3,0.23,8594,8590,0.93,""
