"model","cond","ov","var","bw","x","coef","se","lwr","upr","n","df","p","star"
"1","Education","Trust
(leader)","treat:lose:factor(educ_group)0","3","treat:lose:factor(educ_group)0",-1.56,0.87,-3.27,0.15,8959,8943,0.07,"."
"1","Education","Trust
(leader)","treat:lose:factor(educ_group)1","3","treat:lose:factor(educ_group)1",-1.52,0.58,-2.65,-0.38,8959,8943,0.01,"*"
"1","Education","Trust
(leader)","treat:lose:factor(educ_group)2","3","treat:lose:factor(educ_group)2",-0.42,0.46,-1.32,0.47,8959,8943,0.35,""
"1","Education","Trust
(leader)","treat:lose:factor(educ_group)3","3","treat:lose:factor(educ_group)3",-1.44,0.31,-2.04,-0.84,8959,8943,0,"*"
"2","Education","Trust
(leader)","treat:win:factor(educ_group)0","3","treat:win:factor(educ_group)0",-0.5,0.67,-1.82,0.82,7722,7706,0.46,""
"2","Education","Trust
(leader)","treat:win:factor(educ_group)1","3","treat:win:factor(educ_group)1",-0.46,0.39,-1.22,0.31,7722,7706,0.24,""
"2","Education","Trust
(leader)","treat:win:factor(educ_group)2","3","treat:win:factor(educ_group)2",0.48,0.51,-0.52,1.47,7722,7706,0.35,""
"2","Education","Trust
(leader)","treat:win:factor(educ_group)3","3","treat:win:factor(educ_group)3",-0.54,0.28,-1.09,0.02,7722,7706,0.06,"."
"1","Gender","Trust
(leader)","treat:lose:factor(female)0","3","treat:lose:factor(female)0",-1.3,0.32,-1.93,-0.68,10097,10089,0,"*"
"1","Gender","Trust
(leader)","treat:lose:factor(female)1","3","treat:lose:factor(female)1",-1.1,0.34,-1.76,-0.44,10097,10089,0,"*"
"2","Gender","Trust
(leader)","treat:win:factor(female)0","3","treat:win:factor(female)0",-0.4,0.29,-0.97,0.17,9139,9131,0.17,""
"2","Gender","Trust
(leader)","treat:win:factor(female)1","3","treat:win:factor(female)1",-0.15,0.21,-0.56,0.26,9139,9131,0.47,""
"1","Muslim","Trust
(leader)","treat:lose:factor(muslim)0","3","treat:lose:factor(muslim)0",-0.86,0.19,-1.23,-0.49,10028,10020,0,"*"
"1","Muslim","Trust
(leader)","treat:lose:factor(muslim)1","3","treat:lose:factor(muslim)1",-2.19,0.6,-3.36,-1.02,10028,10020,0,"*"
"2","Muslim","Trust
(leader)","treat:win:factor(muslim)0","3","treat:win:factor(muslim)0",-0.33,0.21,-0.73,0.07,9054,9046,0.1,""
"2","Muslim","Trust
(leader)","treat:win:factor(muslim)1","3","treat:win:factor(muslim)1",-0.2,0.34,-0.88,0.47,9054,9046,0.55,""
"1","Television
often","Trust
(leader)","treat:lose:factor(television_dum)0","3","treat:lose:factor(television_dum)0",-1.24,0.37,-1.96,-0.52,10097,10089,0,"*"
"1","Television
often","Trust
(leader)","treat:lose:factor(television_dum)1","3","treat:lose:factor(television_dum)1",-1,0.45,-1.87,-0.12,10097,10089,0.03,"*"
"2","Television
often","Trust
(leader)","treat:win:factor(television_dum)0","3","treat:win:factor(television_dum)0",-0.55,0.33,-1.19,0.09,9139,9131,0.09,"."
"2","Television
often","Trust
(leader)","treat:win:factor(television_dum)1","3","treat:win:factor(television_dum)1",0.01,0.25,-0.48,0.49,9139,9131,0.98,""
"1","Internet
often","Trust
(leader)","treat:lose:factor(internet_dum)0","3","treat:lose:factor(internet_dum)0",-1.13,0.44,-1.99,-0.27,10097,10089,0.01,"*"
"1","Internet
often","Trust
(leader)","treat:lose:factor(internet_dum)1","3","treat:lose:factor(internet_dum)1",-1.23,0.24,-1.71,-0.75,10097,10089,0,"*"
"2","Internet
often","Trust
(leader)","treat:win:factor(internet_dum)0","3","treat:win:factor(internet_dum)0",-0.2,0.23,-0.66,0.26,9139,9131,0.39,""
"2","Internet
often","Trust
(leader)","treat:win:factor(internet_dum)1","3","treat:win:factor(internet_dum)1",-0.56,0.36,-1.27,0.14,9139,9131,0.12,""
