"model","ov","var","x","coef","se","lwr","upr","n","df","p","star"
1,"l3","lose","lose",0.22,0.3,-0.36,0.8,35465,35463,0.45,""
1,"l2","lose","lose",-0.02,0.31,-0.62,0.58,35465,35463,0.95,""
1,"l1","lose","lose",0.16,0.41,-0.64,0.97,35465,35463,0.69,""
1,"0","lose","lose",0.23,0.28,-0.32,0.78,35465,35463,0.42,""
1,"1","lose","lose",0.73,0.24,0.26,1.2,35465,35463,0,"*"
1,"2","lose","lose",0.93,0.36,0.23,1.63,35465,35463,0.01,"*"
1,"3","lose","lose",0.58,0.39,-0.18,1.35,35465,35463,0.13,""
2,"l3","win","win",-0.31,0.4,-1.09,0.46,34042,34040,0.43,""
2,"l2","win","win",-0.56,0.42,-1.39,0.26,34042,34040,0.18,""
2,"l1","win","win",-0.63,0.36,-1.33,0.07,34042,34040,0.08,"."
2,"0","win","win",0.02,0.3,-0.57,0.61,34042,34040,0.95,""
2,"1","win","win",-0.04,0.26,-0.56,0.48,34042,34040,0.88,""
2,"2","win","win",0.4,0.52,-0.61,1.41,34042,34040,0.43,""
2,"3","win","win",-0.07,0.49,-1.03,0.88,34042,34040,0.88,""
