"ov","var","x","coef","se","lwr","upr","n","df","p","star"
"All
events","lose","lose",0.24,0.1,0.04,0.44,31769,31767,0.02,"*"
"Central
gov.","lose","lose",0.25,0.09,0.07,0.42,31769,31767,0.01,"*"
"Local
gov.","lose","lose",-0.01,0.04,-0.08,0.06,31769,31767,0.73,""
"Other","lose","lose",0.01,0.05,-0.08,0.1,31769,31767,0.86,""
"Non-ethnic","lose","lose",0.28,0.11,0.07,0.49,31769,31767,0.01,"*"
"Ethnic","lose","lose",-0.03,0.04,-0.12,0.05,31769,31767,0.44,""
"Small","lose","lose",0.13,0.07,0,0.27,31769,31767,0.04,"*"
"Large","lose","lose",0.08,0.08,-0.07,0.23,31769,31767,0.31,""
"All
events","win","win",0.17,0.09,0,0.34,30715,30713,0.05,"."
"Central
gov.","win","win",0.12,0.06,0,0.24,30715,30713,0.06,"."
"Local
gov.","win","win",0.02,0.02,-0.02,0.07,30715,30713,0.32,""
"Other","win","win",0.04,0.05,-0.06,0.15,30715,30713,0.42,""
"Non-ethnic","win","win",0.16,0.08,0.01,0.32,30715,30713,0.04,"*"
"Ethnic","win","win",0,0.04,-0.08,0.08,30715,30713,0.97,""
"Small","win","win",0.12,0.08,-0.04,0.27,30715,30713,0.13,""
"Large","win","win",0.05,0.08,-0.11,0.2,30715,30713,0.55,""
