"ov","var","bw","x","coef","se","lwr","upr","n","df","p","star","coef.adj","lwr.adj","upr.adj"
"Trust
(leader)","lose","3",-3,0.67,0.6,-0.5,1.83,12082,12068,0.26,"",-0.636666666666667,-1.80666666666667,0.523333333333333
"Trust
(leader)","lose","3",-2,1.51,0.74,0.06,2.97,12082,12068,0.04,"*",0.203333333333333,-1.24666666666667,1.66333333333333
"Trust
(leader)","lose","3",-1,1.74,0.88,0.02,3.46,12082,12068,0.05,"*",0.433333333333333,-1.28666666666667,2.15333333333333
"Trust
(leader)","lose","3",0,1.18,0.99,-0.76,3.12,12082,12068,0.23,"",-0.126666666666667,-2.06666666666667,1.81333333333333
"Trust
(leader)","lose","3",1,-0.31,0.76,-1.81,1.19,12082,12068,0.69,"",-1.61666666666667,-3.11666666666667,-0.116666666666667
"Trust
(leader)","lose","3",2,0.92,1.04,-1.11,2.95,12082,12068,0.37,"",-0.386666666666667,-2.41666666666667,1.64333333333333
"Trust
(leader)","lose","3",3,0.94,1.12,-1.25,3.13,12082,12068,0.4,"",-0.366666666666667,-2.55666666666667,1.82333333333333
"Trust
(leader)","win","3",-3,0.36,0.58,-0.77,1.49,10865,10851,0.53,"",-0.856666666666667,-1.98666666666667,0.273333333333333
"Trust
(leader)","win","3",-2,1.33,0.52,0.31,2.36,10865,10851,0.01,"*",0.113333333333333,-0.906666666666667,1.14333333333333
"Trust
(leader)","win","3",-1,1.96,0.85,0.29,3.64,10865,10851,0.02,"*",0.743333333333333,-0.926666666666667,2.42333333333333
"Trust
(leader)","win","3",0,1.4,0.91,-0.38,3.18,10865,10851,0.12,"",0.183333333333333,-1.59666666666667,1.96333333333333
"Trust
(leader)","win","3",1,0.86,0.6,-0.33,2.04,10865,10851,0.16,"",-0.356666666666667,-1.54666666666667,0.823333333333333
"Trust
(leader)","win","3",2,1.67,0.84,0.02,3.32,10865,10851,0.05,"*",0.453333333333333,-1.19666666666667,2.10333333333333
"Trust
(leader)","win","3",3,1.56,0.82,-0.06,3.17,10865,10851,0.06,".",0.343333333333333,-1.27666666666667,1.95333333333333
