"caliper","ov","var","x","coef","se","lwr","upr","n","df","p","star"
1,"acled_event_type1_dif3","lose","lose",0.66,0.27,0.12,1.19,35175,35173,0.02,"*"
1,"acled_event_type1_dif3","win","win",0.59,0.29,0.02,1.16,33804,33802,0.04,"*"
2,"acled_event_type1_dif3","lose","lose",0.66,0.26,0.16,1.17,35248,35246,0.01,"*"
2,"acled_event_type1_dif3","win","win",0.59,0.28,0.04,1.15,33877,33875,0.04,"*"
3,"acled_event_type1_dif3","lose","lose",0.67,0.25,0.17,1.17,35322,35320,0.01,"*"
3,"acled_event_type1_dif3","win","win",0.6,0.28,0.04,1.16,33920,33918,0.03,"*"
4,"acled_event_type1_dif3","lose","lose",0.67,0.25,0.19,1.16,35399,35397,0.01,"*"
4,"acled_event_type1_dif3","win","win",0.61,0.29,0.05,1.18,33949,33947,0.03,"*"
5,"acled_event_type1_dif3","lose","lose",0.67,0.24,0.19,1.15,35481,35479,0.01,"*"
5,"acled_event_type1_dif3","win","win",0.62,0.29,0.05,1.19,34033,34031,0.03,"*"
6,"acled_event_type1_dif3","lose","lose",0.68,0.24,0.21,1.15,35608,35606,0,"*"
6,"acled_event_type1_dif3","win","win",0.62,0.29,0.05,1.19,34101,34099,0.03,"*"
7,"acled_event_type1_dif3","lose","lose",0.66,0.24,0.19,1.13,35700,35698,0.01,"*"
7,"acled_event_type1_dif3","win","win",0.63,0.29,0.06,1.19,34171,34169,0.03,"*"
8,"acled_event_type1_dif3","lose","lose",0.68,0.23,0.23,1.13,35816,35814,0,"*"
8,"acled_event_type1_dif3","win","win",0.62,0.28,0.07,1.16,34275,34273,0.03,"*"
9,"acled_event_type1_dif3","lose","lose",0.68,0.22,0.24,1.12,35894,35892,0,"*"
9,"acled_event_type1_dif3","win","win",0.62,0.28,0.08,1.17,34379,34377,0.02,"*"
10,"acled_event_type1_dif3","lose","lose",0.66,0.23,0.21,1.11,36004,36002,0,"*"
10,"acled_event_type1_dif3","win","win",0.64,0.29,0.08,1.2,34466,34464,0.02,"*"
