"country","ov","var","x","coef","se","lwr","upr","n","df","p","star"
"Algeria","acled_event_type1_dif3","lose","lose",0.63,0.24,0.16,1.1,34853,34851,0.01,"*"
"Algeria","acled_event_type1_dif3","win","win",0.59,0.29,0.01,1.16,33488,33486,0.04,"*"
"Angola","acled_event_type1_dif3","lose","lose",0.68,0.25,0.2,1.17,35096,35094,0.01,"*"
"Angola","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.2,33669,33667,0.04,"*"
"Benin","acled_event_type1_dif3","lose","lose",0.69,0.25,0.21,1.17,35165,35163,0.01,"*"
"Benin","acled_event_type1_dif3","win","win",0.65,0.29,0.07,1.22,33761,33759,0.03,"*"
"Burkina Faso","acled_event_type1_dif3","lose","lose",0.61,0.24,0.15,1.07,34885,34883,0.01,"*"
"Burkina Faso","acled_event_type1_dif3","win","win",0.59,0.3,0.01,1.18,33401,33399,0.05,"*"
"Burundi","acled_event_type1_dif3","lose","lose",0.66,0.24,0.18,1.14,35290,35288,0.01,"*"
"Burundi","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.19,33862,33860,0.04,"*"
"Cameroon","acled_event_type1_dif3","lose","lose",0.71,0.27,0.17,1.25,31649,31647,0.01,"*"
"Cameroon","acled_event_type1_dif3","win","win",0.66,0.32,0.03,1.3,30252,30250,0.04,"*"
"Central African Republic","acled_event_type1_dif3","lose","lose",0.65,0.24,0.18,1.13,35329,35327,0.01,"*"
"Central African Republic","acled_event_type1_dif3","win","win",0.63,0.29,0.05,1.2,33908,33906,0.03,"*"
"Chad","acled_event_type1_dif3","lose","lose",0.66,0.24,0.18,1.14,35415,35413,0.01,"*"
"Chad","acled_event_type1_dif3","win","win",0.62,0.29,0.05,1.19,33985,33983,0.03,"*"
"Congo - Brazzaville","acled_event_type1_dif3","lose","lose",0.67,0.25,0.19,1.16,34971,34969,0.01,"*"
"Congo - Brazzaville","acled_event_type1_dif3","win","win",0.63,0.3,0.04,1.21,33547,33545,0.03,"*"
"Congo - Kinshasa","acled_event_type1_dif3","lose","lose",0.6,0.24,0.13,1.07,33975,33973,0.01,"*"
"Congo - Kinshasa","acled_event_type1_dif3","win","win",0.57,0.3,-0.02,1.15,32711,32709,0.06,"."
"Cote d'Ivoire","acled_event_type1_dif3","lose","lose",0.6,0.26,0.08,1.12,30315,30313,0.02,"*"
"Cote d'Ivoire","acled_event_type1_dif3","win","win",0.56,0.33,-0.09,1.2,28806,28804,0.09,"."
"Egypt","acled_event_type1_dif3","lose","lose",0.63,0.24,0.16,1.11,34932,34930,0.01,"*"
"Egypt","acled_event_type1_dif3","win","win",0.61,0.3,0.03,1.19,33501,33499,0.04,"*"
"Equatorial Guinea","acled_event_type1_dif3","lose","lose",0.67,0.24,0.19,1.15,35468,35466,0.01,"*"
"Equatorial Guinea","acled_event_type1_dif3","win","win",0.62,0.29,0.04,1.19,34024,34022,0.03,"*"
"Eswatini","acled_event_type1_dif3","lose","lose",0.67,0.24,0.19,1.15,35468,35466,0.01,"*"
