"ov","var","bw","subset","x","coef","se","lwr","upr","n","df","p","star","type"
"Trust
(leader)","treat:lose","3","2005-09","treat:lose",-0.56,0.29,-1.12,0,1439,1435,0.05,"*","Time"
"Trust
(leader)","treat:lose","3","2010-14","treat:lose",-1.4,0.62,-2.61,-0.2,6197,6193,0.02,"*","Time"
"Trust
(leader)","treat:lose","3","2015-18","treat:lose",-0.57,0.41,-1.38,0.23,2864,2860,0.16,"","Time"
"Trust
(leader)","treat:win","3","2005-09","treat:win",0.14,0.18,-0.21,0.49,1505,1501,0.44,"","Time"
"Trust
(leader)","treat:win","3","2010-14","treat:win",-0.47,0.42,-1.29,0.35,5403,5399,0.27,"","Time"
"Trust
(leader)","treat:win","3","2015-18","treat:win",1.17,0.39,0.4,1.94,2231,2227,0,"*","Time"
"Trust
(leader)","treat:lose","3","West","treat:lose",-0.82,0.44,-1.69,0.05,2626,2622,0.06,".","Regions"
"Trust
(leader)","treat:lose","3","South","treat:lose",0.12,0.01,0.11,0.13,2332,2328,0,"*","Regions"
"Trust
(leader)","treat:lose","3","North","treat:lose",-2.6,0.27,-3.12,-2.08,1268,1264,0,"*","Regions"
"Trust
(leader)","treat:lose","3","East","treat:lose",-0.26,0.25,-0.76,0.23,3871,3867,0.3,"","Regions"
"Trust
(leader)","treat:win","3","West","treat:win",-0.54,0.41,-1.34,0.26,2019,2015,0.19,"","Regions"
"Trust
(leader)","treat:win","3","South","treat:win",-0.13,0.09,-0.31,0.04,3528,3524,0.13,"","Regions"
"Trust
(leader)","treat:win","3","North","treat:win",0.59,0.45,-0.29,1.46,1910,1906,0.19,"","Regions"
"Trust
(leader)","treat:win","3","East","treat:win",0.24,0.8,-1.33,1.81,1682,1678,0.76,"","Regions"
