"country","ov","var","bw","x","coef","se","lwr","upr","n","df","p","star"
"Algeria","Trust
(leader)","lose","3","treat:lose",-1.23,0.33,-1.88,-0.58,9883,9879,0,"*"
"Algeria","Trust
(leader)","win","3","treat:win",-0.32,0.23,-0.76,0.13,8638,8634,0.16,""
"Benin","Trust
(leader)","lose","3","treat:lose",-1.09,0.31,-1.71,-0.48,9132,9128,0,"*"
"Benin","Trust
(leader)","win","3","treat:win",-0.24,0.24,-0.7,0.23,8781,8777,0.32,""
"Burundi","Trust
(leader)","lose","3","treat:lose",-1.19,0.33,-1.84,-0.54,9575,9571,0,"*"
"Burundi","Trust
(leader)","win","3","treat:win",-0.28,0.21,-0.7,0.14,9139,9135,0.2,""
"Egypt","Trust
(leader)","lose","3","treat:lose",-1.2,0.31,-1.81,-0.6,10097,10093,0,"*"
"Egypt","Trust
(leader)","win","3","treat:win",-0.45,0.16,-0.76,-0.13,8780,8776,0.01,"*"
"Gabon","Trust
(leader)","lose","3","treat:lose",-1.1,0.3,-1.7,-0.5,9566,9562,0,"*"
"Gabon","Trust
(leader)","win","3","treat:win",-0.28,0.21,-0.7,0.14,9139,9135,0.2,""
"Guinea","Trust
(leader)","lose","3","treat:lose",-1.25,0.34,-1.91,-0.58,9269,9265,0,"*"
"Guinea","Trust
(leader)","win","3","treat:win",-0.24,0.25,-0.73,0.25,8311,8307,0.34,""
"Kenya","Trust
(leader)","lose","3","treat:lose",-1.31,0.35,-1.99,-0.63,8857,8853,0,"*"
"Kenya","Trust
(leader)","win","3","treat:win",-0.25,0.26,-0.76,0.26,8140,8136,0.34,""
"Morocco","Trust
(leader)","lose","3","treat:lose",-1.11,0.3,-1.7,-0.52,9831,9827,0,"*"
"Morocco","Trust
(leader)","win","3","treat:win",-0.28,0.21,-0.7,0.14,9139,9135,0.2,""
"Mozambique","Trust
(leader)","lose","3","treat:lose",-1.24,0.31,-1.86,-0.63,9892,9888,0,"*"
"Mozambique","Trust
(leader)","win","3","treat:win",-0.36,0.2,-0.75,0.03,9036,9032,0.07,"."
"Namibia","Trust
(leader)","lose","3","treat:lose",-1.2,0.34,-1.85,-0.54,9397,9393,0,"*"
"Namibia","Trust
(leader)","win","3","treat:win",-0.26,0.27,-0.79,0.28,8158,8154,0.35,""
"Niger","Trust
(leader)","lose","3","treat:lose",-1.17,0.31,-1.77,-0.57,9817,9813,0,"*"
"Niger","Trust
(leader)","win","3","treat:win",-0.24,0.22,-0.67,0.19,8859,8855,0.27,""
"South Africa","Trust
(leader)","lose","3","treat:lose",-1.34,0.52,-2.36,-0.33,8465,8461,0.01,"*"
"South Africa","Trust
(leader)","win","3","treat:win",-0.15,0.33,-0.8,0.5,6592,6588,0.65,""
"Togo","Trust
(leader)","lose","3","treat:lose",-1.19,0.34,-1.87,-0.52,9544,9540,0,"*"
"Togo","Trust
(leader)","win","3","treat:win",-0.27,0.24,-0.73,0.2,8586,8582,0.26,""
"Tunisia","Trust
(leader)","lose","3","treat:lose",-1,0.21,-1.41,-0.58,9309,9305,0,"*"
"Tunisia","Trust
(leader)","win","3","treat:win",-0.28,0.31,-0.88,0.32,8089,8085,0.37,""
"Zambia","Trust
(leader)","lose","3","treat:lose",-1.23,0.34,-1.9,-0.56,9463,9459,0,"*"
"Zambia","Trust
(leader)","win","3","treat:win",-0.18,0.28,-0.72,0.37,8559,8555,0.52,""
"Zimbabwe","Trust
(leader)","lose","3","treat:lose",-1.25,0.33,-1.9,-0.6,9358,9354,0,"*"
"Zimbabwe","Trust
(leader)","win","3","treat:win",-0.28,0.21,-0.7,0.14,9139,9135,0.2,""
