"ov","var","bw","x","coef","se","lwr","upr","n","df","p","star"
"Trust
(leader)","lose","3","treat:lose",-1.2,0.31,-2.07,-0.34,10097,10093,0,"*"
"Trust
(MPs)","lose","3","treat:lose",-0.81,0.28,-1.5,-0.12,9962,9958,0.01,"*"
"Trust
(local council)","lose","3","treat:lose",-0.48,0.16,-0.89,-0.07,9924,9920,0.01,"*"
"Trust
(ruling parties)","lose","3","treat:lose",-0.72,0.31,-1.43,0,9992,9988,0.05,"."
"Trust
(opp. parties)","lose","3","treat:lose",-0.11,0.17,-0.46,0.25,9879,9875,0.64,""
"Trust
(police)","lose","3","treat:lose",-0.28,0.29,-0.88,0.32,10175,10171,0.48,""
"Trust
(army)","lose","3","treat:lose",0.08,0.3,-0.52,0.68,9326,9322,0.83,""
"Trust
(court)","lose","3","treat:lose",-0.36,0.15,-0.72,-0.01,9991,9987,0.04,"*"
"Performance
(leader)","lose","3","treat:lose",-1.06,0.2,-1.67,-0.46,9892,9888,0,"*"
"Performance
(MPs)","lose","3","treat:lose",-0.59,0.16,-1.03,-0.16,9305,9301,0,"*"
"Performance
(local council)","lose","3","treat:lose",-0.41,0.17,-0.82,0,9337,9333,0.05,"."
"Overall
mood","lose","3","treat:lose",-0.1,0.11,-0.34,0.14,10397,10393,0.55,""
"Friendly","lose","3","treat:lose",0.05,0.09,-0.14,0.23,10396,10392,0.69,""
"Interested","lose","3","treat:lose",-0.14,0.13,-0.41,0.14,10395,10391,0.45,""
"Cooperative","lose","3","treat:lose",-0.19,0.09,-0.39,0.02,10397,10393,0.08,"."
"Patient","lose","3","treat:lose",-0.17,0.15,-0.49,0.16,10397,10393,0.45,""
"At ease","lose","3","treat:lose",-0.16,0.23,-0.63,0.31,10396,10392,0.61,""
"Honest","lose","3","treat:lose",0.03,0.16,-0.28,0.34,10395,10391,0.86,""
"National
identity","lose","3","treat:lose",0.3,0.18,-0.09,0.69,8177,8173,0.17,""
"Trust
(leader)","win","3","treat:win",-0.28,0.21,-0.8,0.24,9139,9135,0.62,""
"Trust
(MPs)","win","3","treat:win",-0.13,0.26,-0.69,0.42,8971,8967,0.98,""
"Trust
(local council)","win","3","treat:win",0.01,0.26,-0.5,0.52,8923,8919,0.98,""
"Trust
(ruling parties)","win","3","treat:win",0.22,0.3,-0.46,0.9,9016,9012,0.97,""
"Trust
(opp. parties)","win","3","treat:win",0.06,0.12,-0.21,0.32,8869,8865,0.98,""
"Trust
(police)","win","3","treat:win",0.31,0.23,-0.26,0.88,9244,9240,0.62,""
"Trust
(army)","win","3","treat:win",0.01,0.22,-0.43,0.44,8377,8373,0.98,""
"Trust
(court)","win","3","treat:win",-0.04,0.27,-0.58,0.5,9070,9066,0.98,""
"Performance
(leader)","win","3","treat:win",-0.05,0.18,-0.42,0.33,8967,8963,0.98,""
"Performance
(MPs)","win","3","treat:win",0.44,0.18,-0.09,0.97,8433,8429,0.25,""
"Performance
(local council)","win","3","treat:win",0.1,0.25,-0.43,0.62,8091,8087,0.98,""
"Overall
mood","win","3","treat:win",0.16,0.18,-0.26,0.59,9408,9404,0.9,""
"Friendly","win","3","treat:win",0.23,0.15,-0.15,0.62,9407,9403,0.62,""
"Interested","win","3","treat:win",0.19,0.17,-0.22,0.59,9406,9402,0.76,""
"Cooperative","win","3","treat:win",0.03,0.13,-0.24,0.29,9408,9404,0.98,""
"Patient","win","3","treat:win",-0.04,0.26,-0.56,0.49,9408,9404,0.98,""
"At ease","win","3","treat:win",0.4,0.31,-0.34,1.15,9407,9403,0.62,""
"Honest","win","3","treat:win",0.16,0.24,-0.38,0.7,9407,9403,0.98,""
"National
identity","win","3","treat:win",0.55,0.37,-0.38,1.49,7345,7341,0.62,""
