"var","mean","sd","min","max","n"
"lose",0,0,0,0,43084
"even",0.59,0.49,0,1,43084
"win",0.41,0.49,0,1,43084
"p_score",54.73,11.62,7.85,93.71,43084
"acled_event_type1_dif3",0.55,20.36,-100,100,43084
"acled_event_type2_dif3",0.64,17.84,-100,100,43084
"acled_event_type3_dif3",0.41,20.14,-100,100,43084
"scad_protest_dif3",-0.23,9.55,-100,100,38746
"scad_protest_cgov_dif3",-0.13,8.19,-100,100,38746
"scad_protest_rgov_dif3",-0.05,2.91,-66.67,33.33,38746
"scad_protest_ngov_dif3",-0.05,4.54,-66.67,66.67,38746
"scad_protest_nonethnic_dif3",-0.16,8.84,-100,100,38746
"scad_protest_ethnic_dif3",-0.07,3.75,-66.67,66.67,38746
"scad_protest_small_dif3",-0.14,6.6,-66.67,66.67,38746
"scad_protest_large_dif3",-0.07,7.12,-100,66.67,38746
"rank_dif_p",-1.02,41.72,-100,100,41712
"season_appearance",18.55,11.13,0,38,43084
